palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
medialuna,🥐,Comida y bebida,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce,croissant dulce de cafeteria,croissant dulce de cafeteria,factura tipo croissant pequena y dulce,factura tipo croissant pequena y dulce
facturas,🥐🧁,Comida y bebida,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria,"bolleria dulce variada (medialunas, etc.)","bolleria dulce variada (medialunas, etc.)",surtido de panes dulces de cafeteria,surtido de panes dulces de cafeteria
bizcocho,🎂🍰,Comida y bebida,pan dulce u hojaldre,galleta o pan seco dulce,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel de cumpleanos,vulva ⚠️,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa,pastel o torta esponjosa
pan de yuca,🧀🥖,Comida y bebida,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,"panecito de yuca y queso, snack tipico",panecillo de almidon de yuca y queso,"panecito de yuca y queso, snack tipico",panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso,panecillo de almidon de yuca y queso
pandebono,🧀,Comida y bebida,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,"pan redondo de queso, almidon y huevo",pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca,pan de queso y almidon de yuca
pan de bono,🧀,Comida y bebida,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,variante escrita de pandebono,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano,pan de queso colombiano
chipa,🧀,Comida y bebida,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso,rosca o bolita de almidon y queso,panecillo de almidon de mandioca y queso,rosca o bolita de almidon y queso,panecillo de almidon de mandioca y queso,panecillo de almidon de mandioca y queso
sope,🌮,Comida y bebida,tortilla gruesa con borde y guarniciones,antojito de masa gruesa con frijol y salsa,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones,tortilla gruesa con borde y guarniciones
pupusa,🫓🧀,Comida y bebida,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,"platillo nacional, tortilla rellena","platillo nacional, tortilla rellena",tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron,tortilla gruesa rellena de queso o chicharron
baleada,🫓,Comida y bebida,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,"tortilla de harina con frijoles, crema y queso",tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso,tortilla de harina doblada con frijol y queso
gordita,🫓,Comida y bebida,masa de maiz rellena,tortilla gruesa rellena de guisos,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena,masa de maiz rellena
empanada,🥟,Comida y bebida,"masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita",de harina de maiz frita y rellena,de harina de maiz frita y rellena,"masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa rellena, horneada o frita","masa al horno rellena de carne, suele ser salada","masa al horno rellena de carne, suele ser salada","masa al horno rellena de carne, suele ser salada","masa rellena, horneada o frita"
salteña,🥟,Comida y bebida,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa tipica del desayuno,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada,empanada jugosa horneada
tequeño,🧀🥖,Comida y bebida,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,"dedito de queso frito, pasapalo clasico",palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso,palito de masa frita relleno de queso
choripán,🌭🍞,Comida y bebida,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,sandwich de chorizo a la parrilla,"chorizo en pan, clasico de la parrilla","chorizo en pan, clasico de la parrilla","chorizo en pan, clasico de la parrilla",sandwich de chorizo a la parrilla
pancho,🌭,Comida y bebida,"hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan","hot dog, salchicha en pan",hot dog,hot dog,"hot dog, salchicha en pan","hot dog, salchicha en pan"
súper,🌭,Comida y bebida,"hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente",hot dog grande con salchicha,"hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente","hot dog grande, perro caliente"
jocho,🌭,Comida y bebida,hot dog,hot dog (de hot dog),hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog,hot dog
shuco,🌭,Comida y bebida,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,"sucio, mugroso (adjetivo)","sucio, mugroso (adjetivo)",hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas,hot dog callejero con guacamol y salsas
guata,🤰🍔,Comida y bebida,"panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","barriga, estomago","barriga, estomago","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","panza, barriga (por comer mucho)","barriga, estomago","panza, barriga (por comer mucho)"
salchipapa,🌭🍟,Comida y bebida,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,comida callejera de salchicha y papas,salchicha frita con papas fritas,comida callejera de salchicha y papas,comida callejera de salchicha y papas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas,salchicha frita con papas fritas
elote,🌽,Comida y bebida,"mazorca de maiz, a menudo con mayo y queso","mazorca preparada con mayonesa, queso y chile","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso","mazorca de maiz, a menudo con mayo y queso"
esquite,🌽🧀,Comida y bebida,granos de elote en vaso con condimentos,"vaso de granos de maiz con mayo, queso y chile",granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos,granos de elote en vaso con condimentos
humita,🌽,Comida y bebida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,masa de choclo envuelta en chala,masa de choclo envuelta en chala,masa de choclo envuelta en chala,pasta de maiz envuelta y cocida,pasta de maiz envuelta y cocida,masa de choclo envuelta en chala,masa de choclo envuelta en chala,pasta de maiz envuelta y cocida
tamal,🫔,Comida y bebida,masa de maiz rellena envuelta y cocida,"envuelto en hoja de maiz, mas pequeno",masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,"envuelto en hoja de platano, mas grande","envuelto en hoja de platano, mas grande",masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida,masa de maiz rellena envuelta y cocida
hallaca,🫔,Comida y bebida,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,plato navideno por excelencia,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano,tamal navideno con guiso y envuelto en hoja de platano
nacatamal,🫔,Comida y bebida,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal dominguero relleno de cerdo,tamal dominguero relleno de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo,tamal grande con carne de cerdo
guacho,🍚,Comida y bebida,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso con mariscos o carne,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz,"huerfano, persona sola","huerfano, persona sola",arroz caldoso o guiso de arroz,arroz caldoso o guiso de arroz
casado,🍛,Comida y bebida,"plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne",plato tipico de almuerzo completo,"plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne","plato combinado con arroz, frijoles y carne"
bandeja,🍛,Comida y bebida,plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),"bandeja paisa, plato abundante",plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa),plato grande surtido (bandeja paisa)
seco,🍛,Comida y bebida,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,"guiso de carne, pollo o chivo con culantro","guiso de carne, pollo o chivo con culantro",guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz,guiso de carne con cilantro servido con arroz
lomito,🥪🥩,Comida y bebida,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,sandwich grande de lomo de cerdo o res,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,sandwich grande de lomo de cerdo o res,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte de lomo o sandwich de carne,corte fino de lomo,corte fino de lomo,corte fino de lomo,corte de lomo o sandwich de carne
pebete,🥪,Comida y bebida,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,pan de miga suave para sandwich,sandwich en pan suave alargado,pan de miga suave para sandwich,pan de miga suave para sandwich
sánguche,🥪,Comida y bebida,sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),sandwich (deformacion popular),"sandwich, muy usado coloquialmente",sandwich (deformacion popular),sandwich (deformacion popular),"sandwich, muy usado coloquialmente","sandwich, muy usado coloquialmente",sandwich (deformacion popular),sandwich (deformacion popular)
bocadillo,🥪🍬,Comida y bebida,sandwich en barra de pan,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,dulce solido de guayaba,dulce solido de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba,sandwich en pan o dulce de guayaba
refresco,🥤,Comida y bebida,"gaseosa (Coca-Cola, etc.)",agua fresca de fruta natural,agua fresca de fruta natural,agua fresca de fruta natural,agua fresca de fruta natural,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,"gaseosa (Coca-Cola, etc.)","gaseosa (Coca-Cola, etc.)","gaseosa (Coca-Cola, etc.)",bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor,bebida gaseosa o agua de sabor
gaseosa,🥤,Comida y bebida,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida con gas,bebida sin alcohol con gas en general,bebida con gas,bebida sin alcohol con gas en general,bebida sin alcohol con gas en general,bebida con gas,bebida con gas,bebida con gas,bebida sin alcohol con gas en general,bebida con gas,bebida con gas
soda,🥤,Comida y bebida,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,fonda o pequeno restaurante economico,gaseosa,bebida gaseosa,bebida gaseosa,gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa,bebida gaseosa
chicha,🍹🌽,Comida y bebida,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,refresco de arroz o frutas,bebida fermentada o de maiz,refresco de arroz o frutas,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,"bebida fermentada de maiz, alcoholica",bebida fermentada o de maiz,"bebida fermentada de maiz, alcoholica","bebida morada de maiz, chicha morada (no alcoholica)","bebida fermentada de maiz, alcoholica",bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz,bebida fermentada o de maiz
pisco,🍸,Comida y bebida,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,"destilado de uva, orgullo nacional",aguardiente de uva,aguardiente de uva,aguardiente de uva,aguardiente de uva,"aguardiente de uva, base del piscola",aguardiente de uva
piscola,🥃🥤,Comida y bebida,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,pisco con bebida cola,trago popular de pisco con cola,pisco con bebida cola
singani,🍸,Comida y bebida,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,"destilado de uva, licor nacional",aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel,aguardiente de uva moscatel
aguapanela,🍵,Comida y bebida,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida caliente o fria de panela,bebida de panela disuelta en agua,bebida caliente o fria de panela,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua,bebida de panela disuelta en agua
